                                  column                                   match                                   label type csv grp show sort srch wdth
                           "CASE_NUMBER"                           "CASE_NUMBER"                           "CASE_NUMBER"  chr   0   0    0    0    0    0
                           "CASE_STATUS"                           "CASE_STATUS"                           "CASE_STATUS"  chr   0   0    0    0    0    0
                        "CASE_SUBMITTED"                        "CASE_SUBMITTED"                        "CASE_SUBMITTED" date   0   0    0    0    0    0
                         "DECISION_DATE"                         "DECISION_DATE"                         "DECISION_DATE" date   0   0    0    0    0    0
                    "ORIGINAL_CERT_DATE"                    "ORIGINAL_CERT_DATE"                    "ORIGINAL_CERT_DATE" date   0   0    0    0    0    0
                            "VISA_CLASS"                            "VISA_CLASS"                            "VISA_CLASS"  chr   0   0    0    0    0    0
                             "JOB_TITLE"                             "JOB_TITLE"                             "JOB_TITLE"  chr   0   0    0    0    0    0
                              "SOC_CODE"                              "SOC_CODE"                              "SOC_CODE"  chr   0   0    0    0    0    0
                             "SOC_TITLE"                             "SOC_TITLE"                             "SOC_TITLE"  chr   0   0    0    0    0    0
                    "FULL_TIME_POSITION"                    "FULL_TIME_POSITION"                    "FULL_TIME_POSITION"  chr   0   0    0    0    0    0
       "PERIOD_OF_EMPLOYMENT_START_DATE"                            "BEGIN_DATE"       "PERIOD_OF_EMPLOYMENT_START_DATE"  chr   0   0    0    0    0    0
         "PERIOD_OF_EMPLOYMENT_END_DATE"                              "END_DATE"         "PERIOD_OF_EMPLOYMENT_END_DATE"  chr   0   0    0    0    0    0
                "TOTAL_WORKER_POSITIONS"                "TOTAL_WORKER_POSITIONS"                "TOTAL_WORKER_POSITIONS"  chr   0   0    0    0    0    0
                        "NEW_EMPLOYMENT"                        "NEW_EMPLOYMENT"                        "NEW_EMPLOYMENT"  chr   0   0    0    0    0    0
                  "CONTINUED_EMPLOYMENT"                  "CONTINUED_EMPLOYMENT"                  "CONTINUED_EMPLOYMENT"  chr   0   0    0    0    0    0
            "CHANGE_PREVIOUS_EMPLOYMENT"            "CHANGE_PREVIOUS_EMPLOYMENT"            "CHANGE_PREVIOUS_EMPLOYMENT"  chr   0   0    0    0    0    0
             "NEW_CONCURRENT_EMPLOYMENT"             "NEW_CONCURRENT_EMPLOYMENT"             "NEW_CONCURRENT_EMPLOYMENT"  chr   0   0    0    0    0    0
                       "CHANGE_EMPLOYER"                       "CHANGE_EMPLOYER"                       "CHANGE_EMPLOYER"  chr   0   0    0    0    0    0
                      "AMENDED_PETITION"                      "AMENDED_PETITION"                      "AMENDED_PETITION"  chr   0   0    0    0    0    0
                         "EMPLOYER_NAME"                         "EMPLOYER_NAME"                         "EMPLOYER_NAME"  chr   0   0    0    0    0    0
                 "EMPLOYER_BUSINESS_DBA"                 "EMPLOYER_BUSINESS_DBA"                 "EMPLOYER_BUSINESS_DBA"  chr   0   0    0    0    0    0
                     "EMPLOYER_ADDRESS1"                     "EMPLOYER_ADDRESS1"                     "EMPLOYER_ADDRESS1"  chr   0   0    0    0    0    0
                     "EMPLOYER_ADDRESS2"                     "EMPLOYER_ADDRESS2"                     "EMPLOYER_ADDRESS2"  chr   0   0    0    0    0    0
                         "EMPLOYER_CITY"                         "EMPLOYER_CITY"                         "EMPLOYER_CITY"  chr   0   0    0    0    0    0
                        "EMPLOYER_STATE"                        "EMPLOYER_STATE"                        "EMPLOYER_STATE"  chr   0   0    0    0    0    0
                  "EMPLOYER_POSTAL_CODE"                  "EMPLOYER_POSTAL_CODE"                  "EMPLOYER_POSTAL_CODE"  chr   0   0    0    0    0    0
                      "EMPLOYER_COUNTRY"                      "EMPLOYER_COUNTRY"                      "EMPLOYER_COUNTRY"  chr   0   0    0    0    0    0
                     "EMPLOYER_PROVINCE"                     "EMPLOYER_PROVINCE"                     "EMPLOYER_PROVINCE"  chr   0   0    0    0    0    0
                        "EMPLOYER_PHONE"                        "EMPLOYER_PHONE"                        "EMPLOYER_PHONE"  chr   0   0    0    0    0    0
                    "EMPLOYER_PHONE_EXT"                    "EMPLOYER_PHONE_EXT"                    "EMPLOYER_PHONE_EXT"  chr   0   0    0    0    0    0
                            "NAICS_CODE"                            "NAICS_CODE"                            "NAICS_CODE"  chr   0   0    0    0    0    0
           "AGENT_REPRESENTING_EMPLOYER"           "AGENT_REPRESENTING_EMPLOYER"           "AGENT_REPRESENTING_EMPLOYER"  chr   0   0    0    0    0    0
 "AGENT_ATTORNEY_LAW_FIRM_BUSINESS_NAME" "AGENT_ATTORNEY_LAW_FIRM_BUSINESS_NAME" "AGENT_ATTORNEY_LAW_FIRM_BUSINESS_NAME"  chr   0   0    0    0    0    0
               "AGENT_ATTORNEY_ADDRESS1"               "AGENT_ATTORNEY_ADDRESS1"               "AGENT_ATTORNEY_ADDRESS1"  chr   0   0    0    0    0    0
               "AGENT_ATTORNEY_ADDRESS2"               "AGENT_ATTORNEY_ADDRESS2"               "AGENT_ATTORNEY_ADDRESS2"  chr   0   0    0    0    0    0
                   "AGENT_ATTORNEY_CITY"                   "AGENT_ATTORNEY_CITY"                   "AGENT_ATTORNEY_CITY"  chr   0   0    0    0    0    0
                  "AGENT_ATTORNEY_STATE"                  "AGENT_ATTORNEY_STATE"                  "AGENT_ATTORNEY_STATE"  chr   0   0    0    0    0    0
            "AGENT_ATTORNEY_POSTAL_CODE"            "AGENT_ATTORNEY_POSTAL_CODE"            "AGENT_ATTORNEY_POSTAL_CODE"  chr   0   0    0    0    0    0
                "AGENT_ATTORNEY_COUNTRY"                "AGENT_ATTORNEY_COUNTRY"                "AGENT_ATTORNEY_COUNTRY"  chr   0   0    0    0    0    0
               "AGENT_ATTORNEY_PROVINCE"               "AGENT_ATTORNEY_PROVINCE"               "AGENT_ATTORNEY_PROVINCE"  chr   0   0    0    0    0    0
                  "AGENT_ATTORNEY_PHONE"                  "AGENT_ATTORNEY_PHONE"                  "AGENT_ATTORNEY_PHONE"  chr   0   0    0    0    0    0
              "AGENT_ATTORNEY_PHONE_EXT"              "AGENT_ATTORNEY_PHONE_EXT"              "AGENT_ATTORNEY_PHONE_EXT"  chr   0   0    0    0    0    0
                "STATE_OF_HIGHEST_COURT"                "STATE_OF_HIGHEST_COURT"                "STATE_OF_HIGHEST_COURT"  chr   0   0    0    0    0    0
           "NAME_OF_HIGHEST_STATE_COURT"           "NAME_OF_HIGHEST_STATE_COURT"           "NAME_OF_HIGHEST_STATE_COURT"  chr   0   0    0    0    0    0
                    "WORKSITE_WORKERS_1"                    "WORKSITE_WORKERS_1"                    "WORKSITE_WORKERS_1"  num   0   0    0    0    0    0
                    "SECONDARY_ENTITY_1"                      "SECONDARY_ENTITY"                    "SECONDARY_ENTITY_1"  chr   0   0    0    0    0    0
      "SECONDARY_ENTITY_BUSINESS_NAME_1"        "SECONDARY_ENTITY_BUSINESS_NAME"      "SECONDARY_ENTITY_BUSINESS_NAME_1"  chr   0   0    0    0    0    0
                   "WORKSITE_ADDRESS1_1"                   "WORKSITE_ADDRESS1_1"                   "WORKSITE_ADDRESS1_1"  chr   0   0    0    0    0    0
                   "WORKSITE_ADDRESS2_1"                   "WORKSITE_ADDRESS2_1"                   "WORKSITE_ADDRESS2_1"  chr   0   0    0    0    0    0
                       "WORKSITE_CITY_1"                         "WORKSITE_CITY"                       "WORKSITE_CITY_1"  chr   0   0    0    0    0    0
                     "WORKSITE_COUNTY_1"                     "WORKSITE_COUNTY_1"                     "WORKSITE_COUNTY_1"  chr   0   0    0    0    0    0
                      "WORKSITE_STATE_1"                        "WORKSITE_STATE"                      "WORKSITE_STATE_1"  chr   0   0    0    0    0    0
                "WORKSITE_POSTAL_CODE_1"                "WORKSITE_POSTAL_CODE_1"                "WORKSITE_POSTAL_CODE_1"  chr   0   0    0    0    0    0
               "WAGE_RATE_OF_PAY_FROM_1"                 "WAGE_RATE_OF_PAY_FROM"               "WAGE_RATE_OF_PAY_FROM_1"  chr   0   0    0    0    0    0
                 "WAGE_RATE_OF_PAY_TO_1"                   "WAGE_RATE_OF_PAY_TO"                 "WAGE_RATE_OF_PAY_TO_1"  chr   0   0    0    0    0    0
                    "WAGE_UNIT_OF_PAY_1"                      "WAGE_UNIT_OF_PAY"                    "WAGE_UNIT_OF_PAY_1"  chr   0   0    0    0    0    0
                     "PREVAILING_WAGE_1"                       "PREVAILING_WAGE"                     "PREVAILING_WAGE_1"  chr   0   0    0    0    0    0
                      "PW_UNIT_OF_PAY_1"                        "PW_UNIT_OF_PAY"                      "PW_UNIT_OF_PAY_1"  chr   0   0    0    0    0    0
                  "PW_TRACKING_NUMBER_1"                  "PW_TRACKING_NUMBER_1"                  "PW_TRACKING_NUMBER_1"  chr   0   0    0    0    0    0
