                           column                            match                            label type csv grp show sort srch wdth
                    "CASE_NUMBER"                    "CASE_NUMBER"                    "CASE_NUMBER"  chr   0   0    0    0    0    0
                    "CASE_STATUS"                    "CASE_STATUS"                    "CASE_STATUS"  chr   0   0    0    0    0    0
                  "RECEIVED_DATE"                  "RECEIVED_DATE"                  "RECEIVED_DATE" date   0   0    0    0    0    0
                  "DECISION_DATE"                  "DECISION_DATE"                  "DECISION_DATE" date   0   0    0    0    0    0
             "ORIGINAL_CERT_DATE"             "ORIGINAL_CERT_DATE"             "ORIGINAL_CERT_DATE" date   0   0    0    0    0    0
                     "VISA_CLASS"                     "VISA_CLASS"                     "VISA_CLASS"  chr   0   0    0    0    0    0
                      "JOB_TITLE"                      "JOB_TITLE"                      "JOB_TITLE"  chr   0   0    0    0    0    0
                       "SOC_CODE"                       "SOC_CODE"                       "SOC_CODE"  chr   0   0    0    0    0    0
                      "SOC_TITLE"                      "SOC_TITLE"                      "SOC_TITLE"  chr   0   0    0    0    0    0
             "FULL_TIME_POSITION"             "FULL_TIME_POSITION"             "FULL_TIME_POSITION"  chr   0   0    0    0    0    0
                     "BEGIN_DATE"                     "BEGIN_DATE"                     "BEGIN_DATE" date   0   0    0    0    0    0
                       "END_DATE"                       "END_DATE"                       "END_DATE" date   0   0    0    0    0    0
         "TOTAL_WORKER_POSITIONS"         "TOTAL_WORKER_POSITIONS"         "TOTAL_WORKER_POSITIONS"  num   0   0    0    0    0    0
                 "NEW_EMPLOYMENT"                 "NEW_EMPLOYMENT"                 "NEW_EMPLOYMENT"  num   0   0    0    0    0    0
           "CONTINUED_EMPLOYMENT"           "CONTINUED_EMPLOYMENT"           "CONTINUED_EMPLOYMENT"  num   0   0    0    0    0    0
     "CHANGE_PREVIOUS_EMPLOYMENT"     "CHANGE_PREVIOUS_EMPLOYMENT"     "CHANGE_PREVIOUS_EMPLOYMENT"  num   0   0    0    0    0    0
      "NEW_CONCURRENT_EMPLOYMENT"      "NEW_CONCURRENT_EMPLOYMENT"      "NEW_CONCURRENT_EMPLOYMENT"  num   0   0    0    0    0    0
                "CHANGE_EMPLOYER"                "CHANGE_EMPLOYER"                "CHANGE_EMPLOYER"  num   0   0    0    0    0    0
               "AMENDED_PETITION"               "AMENDED_PETITION"               "AMENDED_PETITION"  num   0   0    0    0    0    0
                  "EMPLOYER_NAME"                  "EMPLOYER_NAME"                  "EMPLOYER_NAME"  chr   0   0    0    0    0    0
                 "TRADE_NAME_DBA"                 "TRADE_NAME_DBA"                 "TRADE_NAME_DBA"  chr   0   0    0    0    0    0
              "EMPLOYER_ADDRESS1"              "EMPLOYER_ADDRESS1"              "EMPLOYER_ADDRESS1"  chr   0   0    0    0    0    0
              "EMPLOYER_ADDRESS2"              "EMPLOYER_ADDRESS2"              "EMPLOYER_ADDRESS2"  chr   0   0    0    0    0    0
                  "EMPLOYER_CITY"                  "EMPLOYER_CITY"                  "EMPLOYER_CITY"  chr   0   0    0    0    0    0
                 "EMPLOYER_STATE"                 "EMPLOYER_STATE"                 "EMPLOYER_STATE"  chr   0   0    0    0    0    0
           "EMPLOYER_POSTAL_CODE"           "EMPLOYER_POSTAL_CODE"           "EMPLOYER_POSTAL_CODE"  chr   0   0    0    0    0    0
               "EMPLOYER_COUNTRY"               "EMPLOYER_COUNTRY"               "EMPLOYER_COUNTRY"  chr   0   0    0    0    0    0
              "EMPLOYER_PROVINCE"              "EMPLOYER_PROVINCE"              "EMPLOYER_PROVINCE"  chr   0   0    0    0    0    0
                 "EMPLOYER_PHONE"                 "EMPLOYER_PHONE"                 "EMPLOYER_PHONE"  chr   0   0    0    0    0    0
             "EMPLOYER_PHONE_EXT"             "EMPLOYER_PHONE_EXT"             "EMPLOYER_PHONE_EXT"  num   0   0    0    0    0    0
                     "NAICS_CODE"                     "NAICS_CODE"                     "NAICS_CODE"  chr   0   0    0    0    0    0
         "EMPLOYER_POC_LAST_NAME"         "EMPLOYER_POC_LAST_NAME"         "EMPLOYER_POC_LAST_NAME"  chr   0   0    0    0    0    0
        "EMPLOYER_POC_FIRST_NAME"        "EMPLOYER_POC_FIRST_NAME"        "EMPLOYER_POC_FIRST_NAME"  chr   0   0    0    0    0    0
       "EMPLOYER_POC_MIDDLE_NAME"       "EMPLOYER_POC_MIDDLE_NAME"       "EMPLOYER_POC_MIDDLE_NAME"  chr   0   0    0    0    0    0
         "EMPLOYER_POC_JOB_TITLE"         "EMPLOYER_POC_JOB_TITLE"         "EMPLOYER_POC_JOB_TITLE"  chr   0   0    0    0    0    0
          "EMPLOYER_POC_ADDRESS1"          "EMPLOYER_POC_ADDRESS1"          "EMPLOYER_POC_ADDRESS1"  chr   0   0    0    0    0    0
          "EMPLOYER_POC_ADDRESS2"          "EMPLOYER_POC_ADDRESS2"          "EMPLOYER_POC_ADDRESS2"  chr   0   0    0    0    0    0
              "EMPLOYER_POC_CITY"              "EMPLOYER_POC_CITY"              "EMPLOYER_POC_CITY"  chr   0   0    0    0    0    0
             "EMPLOYER_POC_STATE"             "EMPLOYER_POC_STATE"             "EMPLOYER_POC_STATE"  chr   0   0    0    0    0    0
       "EMPLOYER_POC_POSTAL_CODE"       "EMPLOYER_POC_POSTAL_CODE"       "EMPLOYER_POC_POSTAL_CODE"  chr   0   0    0    0    0    0
           "EMPLOYER_POC_COUNTRY"           "EMPLOYER_POC_COUNTRY"           "EMPLOYER_POC_COUNTRY"  chr   0   0    0    0    0    0
          "EMPLOYER_POC_PROVINCE"          "EMPLOYER_POC_PROVINCE"          "EMPLOYER_POC_PROVINCE"  chr   0   0    0    0    0    0
             "EMPLOYER_POC_PHONE"             "EMPLOYER_POC_PHONE"             "EMPLOYER_POC_PHONE"  chr   0   0    0    0    0    0
         "EMPLOYER_POC_PHONE_EXT"         "EMPLOYER_POC_PHONE_EXT"         "EMPLOYER_POC_PHONE_EXT"  num   0   0    0    0    0    0
             "EMPLOYER_POC_EMAIL"             "EMPLOYER_POC_EMAIL"             "EMPLOYER_POC_EMAIL"  chr   0   0    0    0    0    0
    "AGENT_REPRESENTING_EMPLOYER"    "AGENT_REPRESENTING_EMPLOYER"    "AGENT_REPRESENTING_EMPLOYER"  chr   0   0    0    0    0    0
       "AGENT_ATTORNEY_LAST_NAME"       "AGENT_ATTORNEY_LAST_NAME"       "AGENT_ATTORNEY_LAST_NAME"  chr   0   0    0    0    0    0
      "AGENT_ATTORNEY_FIRST_NAME"      "AGENT_ATTORNEY_FIRST_NAME"      "AGENT_ATTORNEY_FIRST_NAME"  chr   0   0    0    0    0    0
     "AGENT_ATTORNEY_MIDDLE_NAME"     "AGENT_ATTORNEY_MIDDLE_NAME"     "AGENT_ATTORNEY_MIDDLE_NAME"  chr   0   0    0    0    0    0
        "AGENT_ATTORNEY_ADDRESS1"        "AGENT_ATTORNEY_ADDRESS1"        "AGENT_ATTORNEY_ADDRESS1"  chr   0   0    0    0    0    0
        "AGENT_ATTORNEY_ADDRESS2"        "AGENT_ATTORNEY_ADDRESS2"        "AGENT_ATTORNEY_ADDRESS2"  chr   0   0    0    0    0    0
            "AGENT_ATTORNEY_CITY"            "AGENT_ATTORNEY_CITY"            "AGENT_ATTORNEY_CITY"  chr   0   0    0    0    0    0
           "AGENT_ATTORNEY_STATE"           "AGENT_ATTORNEY_STATE"           "AGENT_ATTORNEY_STATE"  chr   0   0    0    0    0    0
     "AGENT_ATTORNEY_POSTAL_CODE"     "AGENT_ATTORNEY_POSTAL_CODE"     "AGENT_ATTORNEY_POSTAL_CODE"  chr   0   0    0    0    0    0
         "AGENT_ATTORNEY_COUNTRY"         "AGENT_ATTORNEY_COUNTRY"         "AGENT_ATTORNEY_COUNTRY"  chr   0   0    0    0    0    0
        "AGENT_ATTORNEY_PROVINCE"        "AGENT_ATTORNEY_PROVINCE"        "AGENT_ATTORNEY_PROVINCE"  chr   0   0    0    0    0    0
           "AGENT_ATTORNEY_PHONE"           "AGENT_ATTORNEY_PHONE"           "AGENT_ATTORNEY_PHONE"  chr   0   0    0    0    0    0
       "AGENT_ATTORNEY_PHONE_EXT"       "AGENT_ATTORNEY_PHONE_EXT"       "AGENT_ATTORNEY_PHONE_EXT"  chr   0   0    0    0    0    0
   "AGENT_ATTORNEY_EMAIL_ADDRESS"   "AGENT_ATTORNEY_EMAIL_ADDRESS"   "AGENT_ATTORNEY_EMAIL_ADDRESS"  chr   0   0    0    0    0    0
     "LAWFIRM_NAME_BUSINESS_NAME"     "LAWFIRM_NAME_BUSINESS_NAME"     "LAWFIRM_NAME_BUSINESS_NAME"  chr   0   0    0    0    0    0
         "STATE_OF_HIGHEST_COURT"         "STATE_OF_HIGHEST_COURT"         "STATE_OF_HIGHEST_COURT"  chr   0   0    0    0    0    0
