                         column                          match                         label type csv grp show sort srch wdth
                LCA_CASE_NUMBER                LCA_CASE_NUMBER               LCA_CASE_NUMBER  chr   0   0    0    0    0    0
                         STATUS                    CASE_STATUS                   CASE_STATUS  chr   1   1    1    1    1    0
                LCA_CASE_SUBMIT                LCA_CASE_SUBMIT               LCA_CASE_SUBMIT date   0   0    0    0    0    0
                  DECISION_DATE                  DECISION_DATE                 DECISION_DATE date   1   0    0    1    0    0
                     VISA_CLASS                     VISA_CLASS                    VISA_CLASS  chr   1   1    0    1    0    0
 LCA_CASE_EMPLOYMENT_START_DATE                     BEGIN_DATE                    BEGIN_DATE date   1   1    0    1    0    0
   LCA_CASE_EMPLOYMENT_END_DATE                       END_DATE                      END_DATE date   1   1    0    1    0    0
         LCA_CASE_EMPLOYER_NAME                  EMPLOYER_NAME                 EMPLOYER_NAME  chr   1   1    1    1    1    1
      LCA_CASE_EMPLOYER_ADDRESS      LCA_CASE_EMPLOYER_ADDRESS     LCA_CASE_EMPLOYER_ADDRESS  chr   0   0    0    0    0    0
         LCA_CASE_EMPLOYER_CITY                  EMPLOYER_CITY                      EMP_CITY  chr   1   1    0    1    0    1
        LCA_CASE_EMPLOYER_STATE                 EMPLOYER_STATE                     EMP_STATE  chr   1   1    0    1    0    0
  LCA_CASE_EMPLOYER_POSTAL_CODE  LCA_CASE_EMPLOYER_POSTAL_CODE LCA_CASE_EMPLOYER_POSTAL_CODE  chr   0   0    0    0    0    0
              LCA_CASE_SOC_CODE              LCA_CASE_SOC_CODE             LCA_CASE_SOC_CODE  chr   0   0    0    0    0    0
              LCA_CASE_SOC_NAME                      SOC_TITLE                     SOC_TITLE  chr   1   1    1    1    0    1
             LCA_CASE_JOB_TITLE                      JOB_TITLE                     JOB_TITLE  chr   1   1    0    1    0    1
        LCA_CASE_WAGE_RATE_FROM          WAGE_RATE_OF_PAY_FROM                WAGE_RATE_FROM  chr   1   1    1    1    0    0
          LCA_CASE_WAGE_RATE_TO            WAGE_RATE_OF_PAY_TO                  WAGE_RATE_TO  chr   1   1    0    1    0    0
        LCA_CASE_WAGE_RATE_UNIT               WAGE_UNIT_OF_PAY                     WAGE_UNIT  chr   1   1    0    1    0    0
                  FULL_TIME_POS             FULL_TIME_POSITION                     FULL_TIME  chr   1   1    0    1    0    0
                  TOTAL_WORKERS         TOTAL_WORKER_POSITIONS                 TOTAL_WORKERS  num   1   1    1    1    0    0
         LCA_CASE_WORKLOC1_CITY                  WORKSITE_CITY                     WORK_CITY  chr   1   1    1    1    1    1
        LCA_CASE_WORKLOC1_STATE                 WORKSITE_STATE                    WORK_STATE  chr   1   1    1    1    1    0
                           PW_1                PREVAILING_WAGE               PREVAILING_WAGE  chr   1   1    0    1    0    0
                      PW_UNIT_1                 PW_UNIT_OF_PAY                       PW_UNIT  chr   1   1    0    1    0    0
                    PW_SOURCE_1                    PW_SOURCE_1                   PW_SOURCE_1  chr   0   0    0    0    0    0
            OTHER_WAGE_SOURCE_1            OTHER_WAGE_SOURCE_1           OTHER_WAGE_SOURCE_1  chr   0   0    0    0    0    0
                YR_SOURCE_PUB_1                YR_SOURCE_PUB_1               YR_SOURCE_PUB_1  chr   0   0    0    0    0    0
         LCA_CASE_WORKLOC2_CITY         LCA_CASE_WORKLOC2_CITY        LCA_CASE_WORKLOC2_CITY  chr   0   0    0    0    0    0
        LCA_CASE_WORKLOC2_STATE        LCA_CASE_WORKLOC2_STATE       LCA_CASE_WORKLOC2_STATE  chr   0   0    0    0    0    0
                           PW_2                           PW_2                          PW_2  chr   0   0    0    0    0    0
                      PW_UNIT_2                      PW_UNIT_2                     PW_UNIT_2  chr   0   0    0    0    0    0
                    PW_SOURCE_2                    PW_SOURCE_2                   PW_SOURCE_2  chr   0   0    0    0    0    0
            OTHER_WAGE_SOURCE_2            OTHER_WAGE_SOURCE_2           OTHER_WAGE_SOURCE_2  chr   0   0    0    0    0    0
                YR_SOURCE_PUB_2                YR_SOURCE_PUB_2               YR_SOURCE_PUB_2  chr   0   0    0    0    0    0
            LCA_CASE_NAICS_CODE            LCA_CASE_NAICS_CODE           LCA_CASE_NAICS_CODE  chr   0   0    0    0    0    0
                           <NA>               SECONDARY_ENTITY                     EMPLOYER2  chr   1   1    0    1    0    0
                           <NA> SECONDARY_ENTITY_BUSINESS_NAME                EMPLOYER_NAME2  chr   1   1    0    1    0    1
                           <NA>                  PW_WAGE_LEVEL                    WAGE_LEVEL  chr   1   1    0    1    0    0
                           <NA>                 H-1B_DEPENDENT                 H1B_DEPENDENT  chr   1   1    0    1    0    0
                           <NA>               WILLFUL_VIOLATOR              WILLFUL_VIOLATOR  chr   1   1    0    1    0    0
