                column                          match                label type csv grp show sort srch wdth
           CASE_NUMBER                    CASE_NUMBER          CASE_NUMBER  chr   0   0    0    0    0    0
           CASE_STATUS                    CASE_STATUS          CASE_STATUS  chr   1   1    1    1    1    0
        CASE_SUBMITTED                 CASE_SUBMITTED       CASE_SUBMITTED date   0   0    0    0    0    0
         DECISION_DATE                  DECISION_DATE        DECISION_DATE date   1   0    0    1    0    0
            VISA_CLASS                     VISA_CLASS           VISA_CLASS  chr   1   1    0    1    0    0
 EMPLOYMENT_START_DATE                     BEGIN_DATE           BEGIN_DATE  chr   1   1    0    1    0    0
   EMPLOYMENT_END_DATE                       END_DATE             END_DATE  chr   1   1    0    1    0    0
         EMPLOYER_NAME                  EMPLOYER_NAME        EMPLOYER_NAME  chr   1   1    1    1    1    1
     EMPLOYER_ADDRESS1              EMPLOYER_ADDRESS1    EMPLOYER_ADDRESS1  chr   0   0    0    0    0    0
     EMPLOYER_ADDRESS2              EMPLOYER_ADDRESS2    EMPLOYER_ADDRESS2  chr   0   0    0    0    0    0
         EMPLOYER_CITY                  EMPLOYER_CITY             EMP_CITY  chr   1   1    0    1    0    1
        EMPLOYER_STATE                 EMPLOYER_STATE            EMP_STATE  chr   1   1    0    1    0    0
  EMPLOYER_POSTAL_CODE           EMPLOYER_POSTAL_CODE EMPLOYER_POSTAL_CODE  chr   0   0    0    0    0    0
      EMPLOYER_COUNTRY               EMPLOYER_COUNTRY     EMPLOYER_COUNTRY  chr   0   0    0    0    0    0
     EMPLOYER_PROVINCE              EMPLOYER_PROVINCE    EMPLOYER_PROVINCE  chr   0   0    0    0    0    0
        EMPLOYER_PHONE                 EMPLOYER_PHONE       EMPLOYER_PHONE  num   0   0    0    0    0    0
    EMPLOYER_PHONE_EXT             EMPLOYER_PHONE_EXT   EMPLOYER_PHONE_EXT  num   0   0    0    0    0    0
   AGENT_ATTORNEY_NAME            AGENT_ATTORNEY_NAME  AGENT_ATTORNEY_NAME  chr   0   0    0    0    0    0
   AGENT_ATTORNEY_CITY            AGENT_ATTORNEY_CITY  AGENT_ATTORNEY_CITY  chr   0   0    0    0    0    0
  AGENT_ATTORNEY_STATE           AGENT_ATTORNEY_STATE AGENT_ATTORNEY_STATE  chr   0   0    0    0    0    0
             JOB_TITLE                      JOB_TITLE            JOB_TITLE  chr   1   1    0    1    0    1
              SOC_CODE                       SOC_CODE             SOC_CODE  chr   0   0    0    0    0    0
              SOC_NAME                      SOC_TITLE            SOC_TITLE  chr   1   1    1    1    0    1
             NAIC_CODE                      NAIC_CODE            NAIC_CODE  chr   0   0    0    0    0    0
         TOTAL WORKERS         TOTAL_WORKER_POSITIONS        TOTAL_WORKERS  chr   1   1    1    1    0    0
    FULL_TIME_POSITION             FULL_TIME_POSITION            FULL_TIME  chr   1   1    0    1    0    0
       PREVAILING_WAGE                PREVAILING_WAGE      PREVAILING_WAGE  chr   1   1    0    1    0    0
        PW_UNIT_OF_PAY                 PW_UNIT_OF_PAY              PW_UNIT  chr   1   1    0    1    0    0
         PW_WAGE_LEVEL                  PW_WAGE_LEVEL           WAGE_LEVEL  chr   1   1    0    1    0    0
        PW_WAGE_SOURCE                 PW_WAGE_SOURCE       PW_WAGE_SOURCE  chr   0   0    0    0    0    0
   PW_WAGE_SOURCE_YEAR            PW_WAGE_SOURCE_YEAR  PW_WAGE_SOURCE_YEAR  chr   0   0    0    0    0    0
  PW_WAGE_SOURCE_OTHER           PW_WAGE_SOURCE_OTHER PW_WAGE_SOURCE_OTHER  chr   0   0    0    0    0    0
      WAGE_RATE_OF_PAY          WAGE_RATE_OF_PAY_FROM       WAGE_RATE_FROM  chr   1   1    1    1    0    0
      WAGE_UNIT_OF_PAY               WAGE_UNIT_OF_PAY            WAGE_UNIT  chr   1   1    0    1    0    0
        H-1B_DEPENDENT                 H-1B_DEPENDENT        H1B_DEPENDENT  chr   1   1    0    1    0    0
      WILLFUL VIOLATOR               WILLFUL_VIOLATOR     WILLFUL_VIOLATOR  chr   1   1    0    1    0    0
         WORKSITE_CITY                  WORKSITE_CITY            WORK_CITY  chr   1   1    1    1    1    1
       WORKSITE_COUNTY                WORKSITE_COUNTY      WORKSITE_COUNTY  chr   0   0    0    0    0    0
        WORKSITE_STATE                 WORKSITE_STATE           WORK_STATE  chr   1   1    1    1    1    0
  WORKSITE_POSTAL_CODE           WORKSITE_POSTAL_CODE WORKSITE_POSTAL_CODE  chr   0   0    0    0    0    0
                  <NA>               SECONDARY_ENTITY            EMPLOYER2  chr   1   1    0    1    0    0
                  <NA> SECONDARY_ENTITY_BUSINESS_NAME       EMPLOYER_NAME2  chr   1   1    0    1    0    1
                  <NA>            WAGE_RATE_OF_PAY_TO         WAGE_RATE_TO  chr   1   1    0    1    0    0
