                      column                          match                       label type csv grp show sort srch wdth
                 CASE_NUMBER                    CASE_NUMBER                 CASE_NUMBER  chr   0   0    0    0    0    0
                 CASE_STATUS                    CASE_STATUS                 CASE_STATUS  chr   1   1    1    1    1    0
              CASE_SUBMITTED                 CASE_SUBMITTED              CASE_SUBMITTED date   0   0    0    0    0    0
               DECISION_DATE                  DECISION_DATE               DECISION_DATE date   1   0    0    1    0    0
                  VISA_CLASS                     VISA_CLASS                  VISA_CLASS  chr   1   1    0    1    0    0
       EMPLOYMENT_START_DATE                     BEGIN_DATE                  BEGIN_DATE date   1   1    0    1    0    0
         EMPLOYMENT_END_DATE                       END_DATE                    END_DATE date   1   1    0    1    0    0
               EMPLOYER_NAME                  EMPLOYER_NAME               EMPLOYER_NAME  chr   1   1    1    1    1    1
       EMPLOYER_BUSINESS_DBA          EMPLOYER_BUSINESS_DBA       EMPLOYER_BUSINESS_DBA  chr   0   0    0    0    0    0
            EMPLOYER_ADDRESS               EMPLOYER_ADDRESS            EMPLOYER_ADDRESS  chr   0   0    0    0    0    0
               EMPLOYER_CITY                  EMPLOYER_CITY                    EMP_CITY  chr   1   1    0    1    0    1
              EMPLOYER_STATE                 EMPLOYER_STATE                   EMP_STATE  chr   1   1    0    1    0    0
        EMPLOYER_POSTAL_CODE           EMPLOYER_POSTAL_CODE        EMPLOYER_POSTAL_CODE  chr   0   0    0    0    0    0
            EMPLOYER_COUNTRY               EMPLOYER_COUNTRY            EMPLOYER_COUNTRY  chr   0   0    0    0    0    0
           EMPLOYER_PROVINCE              EMPLOYER_PROVINCE           EMPLOYER_PROVINCE  chr   0   0    0    0    0    0
              EMPLOYER_PHONE                 EMPLOYER_PHONE              EMPLOYER_PHONE  chr   0   0    0    0    0    0
          EMPLOYER_PHONE_EXT             EMPLOYER_PHONE_EXT          EMPLOYER_PHONE_EXT  chr   0   0    0    0    0    0
 AGENT_REPRESENTING_EMPLOYER    AGENT_REPRESENTING_EMPLOYER AGENT_REPRESENTING_EMPLOYER  chr   0   0    0    0    0    0
         AGENT_ATTORNEY_NAME            AGENT_ATTORNEY_NAME         AGENT_ATTORNEY_NAME  chr   0   0    0    0    0    0
         AGENT_ATTORNEY_CITY            AGENT_ATTORNEY_CITY         AGENT_ATTORNEY_CITY  chr   0   0    0    0    0    0
        AGENT_ATTORNEY_STATE           AGENT_ATTORNEY_STATE        AGENT_ATTORNEY_STATE  chr   0   0    0    0    0    0
                   JOB_TITLE                      JOB_TITLE                   JOB_TITLE  chr   1   1    0    1    0    1
                    SOC_CODE                       SOC_CODE                    SOC_CODE  chr   0   0    0    0    0    0
                    SOC_NAME                      SOC_TITLE                   SOC_TITLE  chr   1   1    1    1    0    1
                  NAICS_CODE                     NAICS_CODE                  NAICS_CODE  chr   0   0    0    0    0    0
               TOTAL_WORKERS         TOTAL_WORKER_POSITIONS               TOTAL_WORKERS  num   1   1    1    1    0    0
              NEW_EMPLOYMENT                 NEW_EMPLOYMENT              NEW_EMPLOYMENT  num   0   0    0    0    0    0
        CONTINUED_EMPLOYMENT           CONTINUED_EMPLOYMENT        CONTINUED_EMPLOYMENT  num   0   0    0    0    0    0
  CHANGE_PREVIOUS_EMPLOYMENT     CHANGE_PREVIOUS_EMPLOYMENT  CHANGE_PREVIOUS_EMPLOYMENT  num   0   0    0    0    0    0
          NEW_CONCURRENT_EMP             NEW_CONCURRENT_EMP          NEW_CONCURRENT_EMP  num   0   0    0    0    0    0
             CHANGE_EMPLOYER                CHANGE_EMPLOYER             CHANGE_EMPLOYER  num   0   0    0    0    0    0
            AMENDED_PETITION               AMENDED_PETITION            AMENDED_PETITION  num   0   0    0    0    0    0
          FULL_TIME_POSITION             FULL_TIME_POSITION                   FULL_TIME  chr   1   1    0    1    0    0
             PREVAILING_WAGE                PREVAILING_WAGE             PREVAILING_WAGE  num   1   1    0    1    0    0
              PW_UNIT_OF_PAY                 PW_UNIT_OF_PAY                     PW_UNIT  chr   1   1    0    1    0    0
               PW_WAGE_LEVEL                  PW_WAGE_LEVEL                  WAGE_LEVEL  chr   1   1    0    1    0    0
                   PW_SOURCE                      PW_SOURCE                   PW_SOURCE  chr   0   0    0    0    0    0
              PW_SOURCE_YEAR                 PW_SOURCE_YEAR              PW_SOURCE_YEAR  chr   0   0    0    0    0    0
             PW_SOURCE_OTHER                PW_SOURCE_OTHER             PW_SOURCE_OTHER  chr   0   0    0    0    0    0
       WAGE_RATE_OF_PAY_FROM          WAGE_RATE_OF_PAY_FROM              WAGE_RATE_FROM  num   1   1    1    1    0    0
         WAGE_RATE_OF_PAY_TO            WAGE_RATE_OF_PAY_TO                WAGE_RATE_TO  num   1   1    0    1    0    0
            WAGE_UNIT_OF_PAY               WAGE_UNIT_OF_PAY                   WAGE_UNIT  chr   1   1    0    1    0    0
               H1B_DEPENDENT                 H-1B_DEPENDENT               H1B_DEPENDENT  chr   1   1    0    1    0    0
            WILLFUL_VIOLATOR               WILLFUL_VIOLATOR            WILLFUL_VIOLATOR  chr   1   1    0    1    0    0
                 SUPPORT_H1B                    SUPPORT_H1B                 SUPPORT_H1B  chr   0   0    0    0    0    0
             LABOR_CON_AGREE                LABOR_CON_AGREE             LABOR_CON_AGREE  chr   0   0    0    0    0    0
  PUBLIC_DISCLOSURE_LOCATION     PUBLIC_DISCLOSURE_LOCATION  PUBLIC_DISCLOSURE_LOCATION  log   0   0    0    0    0    0
               WORKSITE_CITY                  WORKSITE_CITY                   WORK_CITY  chr   1   1    1    1    1    1
             WORKSITE_COUNTY                WORKSITE_COUNTY             WORKSITE_COUNTY  chr   0   0    0    0    0    0
              WORKSITE_STATE                 WORKSITE_STATE                  WORK_STATE  chr   1   1    1    1    1    0
        WORKSITE_POSTAL_CODE           WORKSITE_POSTAL_CODE        WORKSITE_POSTAL_CODE  chr   0   0    0    0    0    0
          ORIGINAL_CERT_DATE             ORIGINAL_CERT_DATE          ORIGINAL_CERT_DATE date   0   0    0    0    0    0
                        <NA>               SECONDARY_ENTITY                   EMPLOYER2  chr   1   1    0    1    0    0
                        <NA> SECONDARY_ENTITY_BUSINESS_NAME              EMPLOYER_NAME2  chr   1   1    0    1    0    1
